id_lokasi,dmgratio_cr_mmi500,dmgratio_mcf_mmi500,dmgratio_mur_mmi500,dmgratio_lightwood_mmi500,dmgratio_cr_mmi250,dmgratio_mcf_mmi250,dmgratio_mur_mmi250,dmgratio_lightwood_mmi250,dmgratio_cr_mmi100,dmgratio_mcf_mmi100,dmgratio_mur_mmi100,dmgratio_lightwood_mmi100
623.0,1.0,1.0,0.9490614381695097,1.0,1.0,1.0,0.991828799518294,1.0,0.9842631630608479,0.9992372037563618,0.974246509839304,1.0
624.0,1.0,1.0,0.9491996138478368,1.0,1.0,1.0,0.99196353262215,1.0,0.9851378939735683,1.0,0.9754027802865638,1.0
625.0,1.0,1.0,0.9493806636468746,1.0,0.9946474525482446,1.0,0.9884729594754995,1.0,0.9676232020498449,0.9853019413140293,0.9571631951553178,1.0
626.0,1.0,1.0,0.9494358025191522,1.0,0.9927180183661275,1.0,0.9866405993031416,1.0,0.9681052002257889,0.9855025301922382,0.9576053581430877,1.0
627.0,1.0,1.0,0.9496526956307584,1.0,0.9961060195324101,1.0,0.9895468154831184,1.0,0.9749976427992257,0.9888475981515705,0.964174417099654,1.0
628.0,1.0,1.0,0.949934843258375,1.0,0.9966133231999212,1.0,0.9898663736455601,1.0,0.9789359120961535,0.9916881369349964,0.9682277255328645,1.0
629.0,1.0,1.0,0.9503349522570692,1.0,0.9872691450108321,1.0,0.9786216230954856,1.0,0.9219069300521892,0.9596402662501383,0.9149215931795612,0.9907297567637993
630.0,1.0,1.0,0.9505289165981708,1.0,0.9962034179963312,1.0,0.9896101969440063,1.0,0.9782666432986302,0.9911146715765322,0.9675232119533337,1.0
631.0,1.0,1.0,0.9505791708606234,1.0,0.9903069333511038,1.0,0.9835596416183948,1.0,0.9574405915386393,0.9812381963652665,0.947851125214979,0.997343891477299
632.0,1.0,1.0,0.9512387777867313,1.0,0.9950839616320538,1.0,0.9888199476808237,1.0,0.9727850519628051,0.9876351381359117,0.9619988351248141,1.0
633.0,1.0,1.0,0.9514538391710055,1.0,0.9986412904669872,1.0,0.9909056653088558,1.0,0.9819791476973733,0.9951282830324667,0.9715262578993998,1.0
634.0,1.0,1.0,0.9514634725987395,1.0,0.9899181422200277,1.0,0.9829764455272201,1.0,0.9423773188871213,0.9742401264935369,0.9340569867104735,0.9923749748374514
635.0,1.0,1.0,0.9515856912866695,1.0,0.9957333036679662,1.0,0.9892950558358261,1.0,0.9746344154783887,0.9886351155670035,0.9638123023986036,1.0
636.0,1.0,1.0,0.9515948229461595,1.0,0.9989847083977154,1.0,0.9910478516294005,1.0,0.9824311861955347,0.9958059553555412,0.9720398174843702,1.0
637.0,1.0,1.0,0.951740480894372,1.0,0.9985903046311364,1.0,0.990883781181379,1.0,0.9819949960756074,0.9951511078597766,0.971544111505465,1.0
638.0,1.0,1.0,0.9517766267333241,1.0,1.0,1.0,0.9919649600869351,1.0,0.9852463720645235,1.0,0.9755521771539218,1.0
639.0,1.0,1.0,0.9518923023063618,1.0,0.9969631916189287,1.0,0.9900719666109532,1.0,0.9778945911326064,0.9908156911916807,0.9671341239579031,1.0
640.0,1.0,1.0,0.9521258705717315,1.0,0.9945899980118991,1.0,0.9884255599341196,1.0,0.9708999001233507,0.986723945813471,0.960199671365977,1.0
641.0,1.0,1.0,0.9521406231418929,1.0,0.9858105162892618,1.0,0.9763528962249087,1.0,0.8963862120006862,0.9425901740668999,0.8940111789309528,0.9918012879857757
642.0,1.0,1.0,0.9521865577535222,1.0,0.9887875670743788,1.0,0.981167962612482,1.0,0.9371966774426967,0.9712053231172707,0.9293496502747696,0.9915281203824499
643.0,1.0,1.0,0.9527317080890264,1.0,0.9993042801188823,1.0,0.9911722143504279,1.0,0.9828079816649989,0.9964160775085703,0.972475549201064,1.0
644.0,1.0,1.0,0.9529140164030938,1.0,0.9948120919646374,1.0,0.9886065358679132,1.0,0.9759188876138937,0.9894158290151279,0.9651018185521333,1.0
645.0,1.0,1.0,0.952923952731662,1.0,0.9941442360389886,1.0,0.9880436480531434,1.0,0.9703072443716068,0.9864544574594907,0.9596435916509332,1.0
646.0,1.0,1.0,0.9530693755107043,1.0,0.9923644124736895,1.0,0.9862466989131473,1.0,0.9519549005168954,0.9789242996380519,0.942817734166539,0.995002626548138
647.0,1.0,1.0,0.9530855029626756,1.0,0.9937390994882168,1.0,0.9876740159516426,1.0,0.9692234232499954,0.9859775723149624,0.9586358893370008,1.0
648.0,1.0,1.0,0.9533787375365006,1.0,0.9961378165817055,1.0,0.9895676152051724,1.0,0.9788151621534371,0.9915810223192462,0.9681002032914512,1.0
649.0,1.0,1.0,0.9534126444914449,1.0,0.9936645648925149,1.0,0.9876035958556322,1.0,0.9642965214624745,0.9839605150898646,0.9541262829288064,1.0
650.0,1.0,1.0,0.9537203245974532,1.0,0.9959214006692901,1.0,0.989423957414047,1.0,0.9785010991528806,0.9913100923143101,0.9677693645110151,1.0
651.0,1.0,1.0,0.9537739696894848,1.0,0.9887921233851471,1.0,0.981175516986012,1.0,0.9487954464970831,0.977487271002222,0.9399215066520142,0.993958614196881
652.0,1.0,1.0,0.9538161013329896,1.0,0.994398635320805,1.0,0.9882647104468347,1.0,0.9692469228529234,0.9859877231751941,0.9586576333649703,1.0
653.0,1.0,1.0,0.9538899515290175,1.0,0.9976624515161125,1.0,0.9904488013641081,1.0,0.9783527613308726,0.9911857980645883,0.9676135418745884,1.0
654.0,1.0,1.0,0.9539330823372973,1.0,1.0,1.0,0.9914190511386102,1.0,0.9822777077321505,0.9955695244024431,0.9718644064048615,1.0
655.0,1.0,1.0,0.9540259917261579,1.0,0.9952368832216931,1.0,0.9889361559626441,1.0,0.9772371334644464,0.9903175508786675,0.9664513658116789,1.0
656.0,1.0,1.0,0.9541435302500111,1.0,0.9980295453943739,1.0,0.990629410883046,1.0,0.9817525181222377,0.9948088929971156,0.9712720517969164,1.0
657.0,1.0,1.0,0.9542191761393454,1.0,0.9941531080464314,1.0,0.9880514986091065,1.0,0.9690348105129893,0.9858963704344931,0.9584615124964042,1.0
658.0,1.0,1.0,0.954279404991913,1.0,0.9970186965720341,1.0,0.990103511956836,1.0,0.978488424691566,0.9912993826432057,0.9677560392984622,1.0
659.0,1.0,1.0,0.954294335069542,1.0,0.9952991025623877,1.0,0.9889826630832589,1.0,0.9782742980752993,0.9911209636352724,0.9675312370947388,1.0
660.0,1.0,1.0,0.9545746575568119,1.0,1.0,1.0,0.9914989426126689,1.0,0.9839323172765648,0.9985235337686268,0.9738292088800936,1.0
